lon,lat,ACM
-124.98,41.985,3
-124.954,41.986,3
-124.928,41.987,3
-124.901,41.987,3
-124.875,41.988,3
-124.848,41.989,3
-124.822,41.989,3
-124.796,41.99,3
-124.769,41.991,3
-124.743,41.992,3
-124.716,41.992,3
-124.69,41.993,3
-124.663,41.994,3
-124.637,41.994,3
-124.61,41.995,3
-124.584,41.996,3
-124.557,41.997,3
-124.531,41.997,3
-124.504,41.998,3
-124.478,41.999,3
-124.451,41.999,3
-124.425,42.0,3
-124.987,41.956,3
-124.96,41.957,3
-124.934,41.958,3
-124.908,41.959,3
-124.881,41.959,3
-124.855,41.96,3
-124.828,41.961,3
-124.802,41.961,3
-124.775,41.962,3
-124.749,41.963,3
-124.723,41.963,3
-124.696,41.964,3
-124.67,41.965,3
-124.643,41.966,3
-124.617,41.966,3
-124.59,41.967,3
-124.564,41.968,3
-124.537,41.968,3
-124.511,41.969,3
-124.485,41.97,3
-124.458,41.971,3
-124.432,41.971,3
-124.405,41.972,3
-124.379,41.973,3
-124.352,41.974,3
-124.326,41.974,3
-124.299,41.975,3
-124.273,41.976,3
-124.246,41.977,3
-124.219,41.977,3
-124.193,41.978,3
-124.166,41.979,3
-124.14,41.979,3
-124.113,41.98,3
-124.087,41.981,3
-124.06,41.982,3
-124.034,41.982,3
-124.007,41.983,3
-123.981,41.984,3
-123.954,41.985,3
-123.927,41.985,3
-123.901,41.986,3
-123.874,41.987,3
-123.848,41.988,3
-123.821,41.989,3
-123.794,41.989,3
-123.768,41.99,3
-123.741,41.991,3
-123.715,41.992,3
-123.688,41.992,3
-123.661,41.993,3
-123.635,41.994,3
-123.608,41.995,3
-123.581,41.995,3
-123.555,41.996,3
-123.528,41.997,3
-123.501,41.998,3
-123.475,41.999,3
-123.448,41.999,3
-123.421,42.0,3
-124.993,41.928,3
-124.967,41.928,3
-124.94,41.929,3
-124.914,41.93,3
-124.887,41.931,3
-124.861,41.931,3
-124.835,41.932,3
-124.808,41.933,3
-124.782,41.933,3
-124.755,41.934,3
-124.729,41.935,3
-124.703,41.935,3
-124.676,41.936,3
-124.65,41.937,3
-124.623,41.938,3
-124.597,41.938,3
-124.57,41.939,3
-124.544,41.94,3
-124.518,41.94,3
-124.491,41.941,3
-124.465,41.942,3
-124.438,41.943,3
-124.412,41.943,3
-124.385,41.944,3
-124.359,41.945,3
-124.332,41.946,3
-124.306,41.946,3
-124.279,41.947,3
-124.253,41.948,3
-124.226,41.948,3
-124.2,41.949,3
-124.173,41.95,3
-124.147,41.951,3
-124.12,41.951,3
-124.094,41.952,3
-124.067,41.953,3
-124.04,41.954,3
-124.014,41.954,3
-123.987,41.955,3
-123.961,41.956,3
-123.934,41.957,3
-123.908,41.957,3
-123.881,41.958,3
-123.855,41.959,3
-123.828,41.96,3
-123.801,41.96,3
-123.775,41.961,3
-123.748,41.962,3
-123.722,41.963,3
-123.695,41.964,3
-123.668,41.964,3
-123.642,41.965,3
-123.615,41.966,3
-123.588,41.967,3
-123.562,41.967,3
-123.535,41.968,3
-123.508,41.969,3
-123.482,41.97,3
-123.455,41.971,3
-123.428,41.971,3
-123.402,41.972,3
-123.375,41.973,3
-123.348,41.974,3
-123.322,41.975,3
-123.295,41.975,3
-123.268,41.976,3
-123.242,41.977,3
-123.215,41.978,3
-123.188,41.978,3
-123.162,41.979,3
-123.135,41.98,3
-123.108,41.981,3
-123.081,41.982,3
-123.055,41.983,3
-123.028,41.983,3
-123.001,41.984,2
-122.974,41.985,2
-122.948,41.986,3
-122.921,41.987,3
-122.894,41.987,3
-122.867,41.988,3
-122.84,41.989,3
-122.814,41.99,3
-122.787,41.991,3
-122.76,41.992,3
-122.733,41.992,3
-122.706,41.993,3
-122.68,41.994,3
-122.653,41.995,3
-122.626,41.996,3
-122.599,41.997,3
-122.572,41.997,3
-122.545,41.998,3
-122.519,41.999,3
-122.492,42.0,3
-124.999,41.899,3
-124.973,41.9,3
-124.947,41.9,3
-124.92,41.901,3
-124.894,41.902,3
-124.867,41.902,3
-124.841,41.903,3
-124.815,41.904,3
-124.788,41.905,3
-124.762,41.905,3
-124.735,41.906,3
-124.709,41.907,3
-124.683,41.907,3
-124.656,41.908,3
-124.63,41.909,3
-124.603,41.91,3
-124.577,41.91,3
-124.55,41.911,3
-124.524,41.912,3
-124.498,41.912,3
-124.471,41.913,3
-124.445,41.914,3
-124.418,41.915,3
-124.392,41.915,3
-124.365,41.916,3
-124.339,41.917,3
-124.312,41.917,3
-124.286,41.918,3
-124.259,41.919,3
-124.233,41.92,3
-124.206,41.92,3
-124.18,41.921,3
-124.153,41.922,3
-124.127,41.923,3
-124.1,41.923,3
-124.074,41.924,3
-124.047,41.925,3
-124.021,41.926,3
-123.994,41.926,3
-123.968,41.927,3
-123.941,41.928,3
-123.915,41.929,3
-123.888,41.929,3
-123.861,41.93,3
-123.835,41.931,3
-123.808,41.932,3
-123.782,41.932,3
-123.755,41.933,3
-123.728,41.934,3
-123.702,41.935,3
-123.675,41.936,3
-123.649,41.936,3
-123.622,41.937,3
-123.595,41.938,3
-123.569,41.939,3
-123.542,41.939,3
-123.516,41.94,3
-123.489,41.941,3
-123.462,41.942,3
-123.436,41.943,3
-123.409,41.943,3
-123.382,41.944,3
-123.356,41.945,3
-123.329,41.946,3
-123.302,41.946,3
-123.276,41.947,3
-123.249,41.948,3
-123.222,41.949,3
-123.196,41.95,3
-123.169,41.95,3
-123.142,41.951,3
-123.115,41.952,1
-123.089,41.953,1
-123.062,41.954,3
-123.035,41.955,3
-123.008,41.955,3
-122.982,41.956,3
-122.955,41.957,3
-122.928,41.958,3
-122.901,41.959,3
-122.875,41.959,3
-122.848,41.96,3
-122.821,41.961,3
-122.794,41.962,3
-122.768,41.963,3
-122.741,41.964,3
-122.714,41.964,3
-122.687,41.965,3
-122.66,41.966,3
-122.634,41.967,3
-122.607,41.968,3
-122.58,41.969,3
-122.553,41.969,3
-122.526,41.97,3
-122.499,41.971,3
-122.473,41.972,3
-122.446,41.973,3
-122.419,41.974,3
-122.392,41.974,3
-122.365,41.975,3
-122.338,41.976,3
-122.311,41.977,3
-122.284,41.978,3
-122.258,41.979,1
-122.231,41.98,0
-122.204,41.98,0
-122.177,41.981,0
-122.15,41.982,0
-122.123,41.983,0
-122.096,41.984,0
-122.069,41.985,0
-122.042,41.986,0
-122.015,41.987,0
-121.988,41.987,0
-121.961,41.988,0
-121.934,41.989,0
-121.907,41.99,0
-121.88,41.991,0
-121.853,41.992,0
-121.826,41.993,0
-121.799,41.994,0
-121.772,41.995,0
-121.745,41.995,1
-121.718,41.996,3
-121.691,41.997,3
-121.664,41.998,3
-121.637,41.999,3
-121.61,42.0,1
-124.979,41.871,3
-124.953,41.872,3
-124.926,41.872,3
-124.9,41.873,3
-124.874,41.874,3
-124.847,41.874,3
-124.821,41.875,3
-124.795,41.876,3
-124.768,41.877,3
-124.742,41.877,3
-124.715,41.878,3
-124.689,41.879,3
-124.663,41.879,3
-124.636,41.88,3
-124.61,41.881,3
-124.583,41.882,3
-124.557,41.882,3
-124.531,41.883,3
-124.504,41.884,3
-124.478,41.884,3
-124.451,41.885,3
-124.425,41.886,3
-124.398,41.887,3
-124.372,41.887,3
-124.345,41.888,3
-124.319,41.889,3
-124.292,41.889,3
-124.266,41.89,3
-124.24,41.891,3
-124.213,41.892,3
-124.187,41.892,3
-124.16,41.893,3
-124.134,41.894,3
-124.107,41.895,3
-124.081,41.895,3
-124.054,41.896,3
-124.028,41.897,3
-124.001,41.898,3
-123.974,41.898,3
-123.948,41.899,3
-123.921,41.9,3
-123.895,41.901,3
-123.868,41.901,3
-123.842,41.902,3
-123.815,41.903,3
-123.789,41.904,3
-123.762,41.904,3
-123.735,41.905,3
-123.709,41.906,3
-123.682,41.907,3
-123.656,41.908,3
-123.629,41.908,3
-123.602,41.909,3
-123.576,41.91,3
-123.549,41.911,3
-123.523,41.911,3
-123.496,41.912,3
-123.469,41.913,3
-123.443,41.914,3
-123.416,41.915,3
-123.389,41.915,3
-123.363,41.916,3
-123.336,41.917,3
-123.309,41.918,3
-123.283,41.918,3
-123.256,41.919,3
-123.229,41.92,3
-123.203,41.921,3
-123.176,41.922,3
-123.149,41.922,3
-123.123,41.923,3
-123.096,41.924,2
-123.069,41.925,2
-123.043,41.926,3
-123.016,41.926,3
-122.989,41.927,3
