CountyName,datetime_local,date_str,hour_str,local_hour,index,cloud_coverage,n_points
Alameda,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.019867549668874173,302
Alpine,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.031141868512110725,289
Amador,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,235
Butte,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.00927357032457496,647
Calaveras,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.02650602409638554,415
Colusa,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.037694013303769404,451
Contra Costa,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.05573770491803279,305
Del Norte,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.11286089238845144,381
El Dorado,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.014265335235378032,701
Fresno,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0008213552361396304,2435
Glenn,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.007797270955165692,513
Humboldt,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.07450693937180423,1369
Imperial,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.9989344698987747,1877
Inyo,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.004903162539838196,4079
Kern,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,3377
Kings,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,571
Lake,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,522
Lassen,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0028376844494892167,1762
Los Angeles,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.2024793388429752,1694
Madera,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.09710982658959537,865
Marin,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.2897196261682243,214
Mariposa,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.2857142857142857,581
Mendocino,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.031409788166544925,1369
Merced,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,804
Modoc,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.016916070266753416,1537
Mono,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.19233903830480847,1227
Monterey,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.013062409288824383,1378
Napa,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,314
Nevada,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,376
Orange,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.6802325581395349,344
Placer,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.02413793103448276,580
Plumas,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0010141987829614604,986
Riverside,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.8778399736582153,3037
Sacramento,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.07360406091370558,394
San Benito,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,574
San Bernardino,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.5974374618669921,8195
San Diego,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.9545957918050941,1806
San Francisco,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.047619047619047616,21
San Joaquin,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0297723292469352,571
San Luis Obispo,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.07764198418404025,1391
San Mateo,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.37037037037037035,189
Santa Barbara,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.2087912087912088,1092
Santa Clara,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,530
Santa Cruz,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.032432432432432434,185
Shasta,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,1448
Sierra,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,376
Siskiyou,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.004269854824935952,2342
Solano,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.18285714285714286,350
Sonoma,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.03599374021909233,639
Stanislaus,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,611
Sutter,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.04149377593360996,241
Tehama,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0017667844522968198,1132
Trinity,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,1224
Tulare,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,1970
Tuolumne,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.2795100222717149,898
Ventura,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.25417201540436457,779
Yolo,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.04914004914004914,407
Yuba,2025-11-03T00:00,"Nov 03, 2025",12 AM,0,0,0.0,249
Alameda,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.009933774834437087,302
Alpine,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0034602076124567475,289
Amador,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,235
Butte,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0061823802163833074,647
Calaveras,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,415
Colusa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.031042128603104215,451
Contra Costa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04918032786885246,305
Del Norte,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.05774278215223097,381
El Dorado,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.011412268188302425,701
Fresno,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.007392197125256674,2435
Glenn,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,513
Humboldt,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.08035062089116143,1369
Imperial,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.880127863612147,1877
Inyo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,4079
Kern,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0011844832691738228,3377
Kings,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,571
Lake,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0038314176245210726,522
Lassen,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.003972758229284903,1762
Los Angeles,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.3305785123966942,1694
Madera,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.09479768786127167,865
Marin,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.37383177570093457,214
Mariposa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.055077452667814115,581
Mendocino,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04894083272461651,1369
Merced,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,804
Modoc,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.018217306441119064,1537
Mono,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.12143439282803586,1227
Monterey,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.04426705370101597,1378
Napa,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,314
Nevada,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,376
Orange,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9098837209302325,344
Placer,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.020689655172413793,580
Plumas,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0010141987829614604,986
Riverside,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9792558445834705,3037
Sacramento,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0532994923857868,394
San Benito,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,574
San Bernardino,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.5919463087248322,8195
San Diego,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.9324473975636767,1806
San Francisco,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.19047619047619047,21
San Joaquin,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.012259194395796848,571
San Luis Obispo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.054636951833213515,1391
San Mateo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.31746031746031744,189
Santa Barbara,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.3141025641025641,1092
Santa Clara,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,530
Santa Cruz,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.16216216216216217,185
Shasta,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.006215469613259668,1448
Sierra,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,376
Siskiyou,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.010247651579846286,2342
Solano,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.10285714285714286,350
Sonoma,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.056338028169014086,639
Stanislaus,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,611
Sutter,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.029045643153526972,241
Tehama,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,1132
Trinity,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0008169934640522876,1224
Tulare,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0005076142131979696,1970
Tuolumne,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.08129175946547884,898
Ventura,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.6110397946084724,779
Yolo,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.014742014742014743,407
Yuba,2025-11-03T01:00,"Nov 03, 2025",1 AM,1,1,0.0,249
Alameda,2025-11-03T02:00,"Nov 03, 2025",2 AM,2,2,0.019867549668874173,302
